objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Too Many Bones: Carcass","349581","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","134705018","5.78583","8.73028","3.3333","0","3198","thing","Too Many Bones: Carcass","1","4","120","120","60","2023","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","155.5","","","","","咸鱼","","","","","Chip Theory Games","English","2023","English edition"
"Too Many Bones: Polaris","349579","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","134705032","5.78806","8.68206","4","0","3152","thing","Too Many Bones: Polaris","1","4","120","120","60","2023","","","","","","","","","","expansion","","155.5","","","","","咸鱼","","","","","Chip Theory Games","English","2023","English edition"
"Too Many Bones: Riffle","370264","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","134705007","5.89521","8.65569","3.6","0","3425","thing","Too Many Bones: Riffle","0","0","0","0","0","2022","","","12","","","","","","","expansion","","155.5","","","","","咸鱼","","","","","Chip Theory Games","English","2022","English edition"
"Too Many Bones: Static","349580","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","134705041","5.79749","8.661","4","0","3227","thing","Too Many Bones: Static","1","4","120","120","60","2023","","","","","","","","","","expansion","","155.5","","","","","咸鱼","","","","","Chip Theory Games","English","2023","English edition"
"UNO Flip!","271460","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140810572","5.88881","6.2689","1.2317","4008","15664","thing","UNO Flip!","2","10","30","30","30","2024","2,3,4,5,6,7","4","5+","No necessary in-game text","","","","","","standalone","","35","","","","","淘宝","","","","","Mattel, Inc.","Dutch; English; French; German; Italian","2024","EN/FR/DE/NL/IT edition"
"Urubamba Valley","391162","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","146874362","5.53527","6.69439","2","15744","196","thing","Sacred Valley","3","5","60","60","60","2023","3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","赠品","","","","","Broadway Toys LTD","Chinese; English","2023","Chinese/English edition"
"一带一路 (Belt and Road)","441743","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","131426741","0","5.95","0","0","7","thing","一带一路 (Belt and Road)","2","4","0","0","0","2024","","","10","","","","","","","standalone","","88","","","","2024-07-01","新物集","","","茨坝人才公寓405","2024-09-18","YOKA Games","Chinese","2024","Chinese edition"
"七大奇蹟：第二版","316377","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","141402880","7.37176","7.82179","2.2734","192","20706","thing","7 Wonders (Second Edition)","3","7","30","30","30","2020","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","212.3","","","","","淘宝","","","","","Repos Production","Chinese","2020","Chinese edition"
"七大奇迹：舰队扩展","316382","9.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","141161736","6.06078","8.10779","3","0","3631","thing","7 Wonders (Second Edition): Armada","3","7","40","40","40","2021","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","167","","","","","淘宝","","","","","Repos Production","Chinese","2021","Chinese edition"
"傳情畫意","46213","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131429359","7.14588","7.37746","1.0692","352","32993","thing","Telestrations","4","8","30","30","30","2009","5,6,7,8","8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","57.23","","","","2022-10-12","淘宝","","盗版","","","Broadway Toys LTD","Chinese","0","Broadway Chinese edition"
"勃根地城堡豪華版","271320","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131394373","8.01898","8.45527","2.9092","0","31618","thing","The Castles of Burgundy","1","4","120","120","70","2020","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","216.49","","","","2025-02-22","淘宝","","","茨坝人才公寓405宿舍","","alea; Broadway Toys LTD","Chinese; English","2020","Chinese/English edition"
"卡斯卡迪亚之旅","295947","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","126401525","7.73018","7.8823","1.8432","61","96222","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","188","","","","2024-09-02","咸鱼","","","茨坝人才公寓405","2024-09-12","Alderac Entertainment Group; Flatout Games","Chinese","2021","Chinese edition"
"双侠小队","434906","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","144953284","6.8509","7.61396","2.0943","692","10047","thing","Tag Team","2","2","15","15","15","2026","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Scorpion Masqué; YOKA Games","Chinese","2026","Simplified Chinese edition"
"噤声寻宝记！地下墓穴","365717","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","144357185","7.79271","8.22769","2.5015","48","26817","thing","Clank!: Catacombs","2","4","90","90","45","2025","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","285","","","","","淘宝","","","","","Broadway Toys LTD","Chinese","2025","Chinese edition"
"城堡嘉年华","416851","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","135478962","7.35755","7.67769","1.733","206","27612","thing","Castle Combo","2","5","25","25","10","2025","2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","98","","","","","新物集","","","","","Catch Up Games; YOKA Games","Chinese","2025","Chinese edition"
"大搜查：神话冒险","302425","9","0","0","0","0","0","0","0","1","0","0","3","","","","","","132207192","6.49109","7.633","2.1739","1366","5360","thing","Unlock!: Mythic Adventures","1","6","60","60","60","2021","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","135","","","","","咸鱼","","","","","Space Cowboys","Chinese","2021","Chinese edition"
"大搜查! 史詩冒險","294612","9","0","0","0","0","0","0","0","0","0","0","3","","","","","","132207179","6.67401","7.64496","2.1154","968","6827","thing","Unlock!: Epic Adventures","1","6","60","60","60","2019","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","135","","","","","咸鱼","","","","","Space Cowboys","Chinese","0","Chinese edition"
"大搜查! 英勇冒險","266121","8","0","0","0","0","0","0","0","1","0","0","3","","","","","","131395696","6.82277","7.56568","2.2549","734","9008","thing","Unlock!: Heroic Adventures","1","6","60","60","60","2018","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","100","","","","2025-03-01","咸鱼","","","茨坝人才公寓405","2025-03-07","asmodee; Space Cowboys","Chinese","0","Chinese edition"
"大搜查！时光冒险","279613","8","0","0","0","0","0","0","0","1","0","0","3","","","","","","131397975","6.75554","7.7177","2.0968","833","6840","thing","Unlock!: Timeless Adventures","1","6","90","90","60","2021","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","60","","","","2025-02-04","咸鱼","","","茨坝人才公寓405","2025-02-08","Space Cowboys","Chinese","2021","Chinese edition"
"天合小队","373106","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131425512","7.89142","8.11124","2.041","32","70987","thing","Sky Team","2","2","20","20","20","2024","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","167.13","","","","2024-11-17","淘宝","","","茨坝人才公寓405","2024-11-25","Scorpion Masqué; YOKA Games","Chinese","2024","Simplified Chinese edition"
"展翅翱翔：亚洲篇","366161","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131425601","7.64001","8.21219","2.6424","89","36268","thing","Wingspan Asia","1","2","70","70","40","2022","1,2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","195","","","","2024-10-29","咸鱼","","","茨坝人才公寓405","2024-11-03","Stonemaier Games","Chinese","2022","Chinese edition"
"山中小屋","358504","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","135890193","6.52138","7.27324","2.3509","1295","13225","thing","Betrayal at House on the Hill: 3rd Edition","3","6","60","60","60","2025","4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","262","","","","","淘宝","","","","","Game Harbor","Chinese","2025","Chinese edition"
"工業革命：伯明翰","224517","10","1","0","1","0","0","0","0","0","0","0","3","","","","","","134271546","8.39022","8.55975","3.8604","1","86424","thing","Brass: Birmingham","2","4","120","120","60","2020","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","548","","54","","2025-07-15","新物集","","","405","2025-07-22","Board Game Rookie; Dexker Games; Roxley","Chinese","2020","Chinese edition"
"巫师飞塔","355483","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","137520617","6.83907","7.32247","1.5946","714","13479","thing","Wandering Towers","1","6","30","30","30","2025","3,4,5,6","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","ABACUSSPIELE; Yaofish Games","Chinese","2025","Yaofish Chinese edition"
"忍者之夜","306321","7.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","145699970","6.20598","7.14673","1.8378","2235","3589","thing","Night of the Ninja","4","11","30","30","15","2022","5,6,7,8,9,10,11","6,7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","26.77","","","","","淘宝","","盗版","","","Broadway Toys LTD; 狗吠火車","Chinese","2022","Chinese edition"
"战争之匣","249259","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395737","7.38884","7.81752","2.3129","183","18731","thing","War Chest","2","4","30","30","30","2020","2,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","238","","","","2024-05-13","新物集","","","茨坝人才公寓405","2024-05-31","YOKA Games; Alderac Entertainment Group","Chinese","2020","Chinese edition"
"战争之匣：围城","324656","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395778","6.20961","8.16139","2.3684","0","5291","thing","War Chest: Siege","2","4","60","60","30","2021","2,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","120","","","","2024-09-11","新物集","","","茨坝人才公寓405","2024-09-29","YOKA Games","Chinese","2021","Chinese edition"
"战争之匣：夜幕","388565","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","132478564","5.72837","8.33505","2.5","0","2169","thing","War Chest: Nightfall","2","4","60","60","30","2024","2,4","2","","","","","","","","expansion","","124","","","","","淘宝","","","","","Alderac Entertainment Group; YOKA Games","Chinese","2024","Chinese edition"
"战争之匣：权贵","284444","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","131395761","6.47195","8.24362","2.3333","0","6646","thing","War Chest: Nobility","2","4","60","60","30","2020","2,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","120","","","","2024-09-11","新物集","","","茨坝人才公寓405","2024-09-29","YOKA Games","Chinese","2020","Chinese edition"
"拉斯維加斯豪華版","271319","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","145699967","6.68806","7.45635","1.4444","941","7361","thing","Las Vegas Royale","2","5","60","60","45","2020","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","45.17","","","","2026-05-18","淘宝","","盗版","","2026-05-26","Broadway Toys LTD","Chinese; English","2020","English/Chinese edition"
"方舟保护区","441696","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136841532","6.81167","7.64941","2.8424","749","7608","thing","Sanctuary","1","5","100","100","40","2025","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","308","","","","2025-09-28","淘宝造点","","","","","Feuerland Spiele; Game Harbor","Chinese","2025","Simplied Chinese edition"
"时空神探：巴黎1920","402111","9","0","0","0","0","0","0","0","1","0","0","3","","","","","","131426105","6.42821","7.46779","2.0545","1524","5491","thing","Kronologic: Paris 1920","1","4","30","30","30","2024","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","148","","","","2024-06-17","摩点","","","茨坝人才公寓405","2025-07-28","Origames; Super Meeple","Chinese","2024","Simplified Chinese edition"
"时空神探：库斯科1450","406619","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","149512528","5.75314","7.62209","2.6","5481","1375","thing","Kronologic: Cuzco 1450","1","4","30","30","30","2025","1,2,3,4","1,2","10","","","","","","","standalone","","84.55","","","","2026-09-11","淘宝","","","405","2026-09-14","Origames; Super Meeple","Chinese","2025","Chinese edition"
"星弧航记","359871","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","133500946","7.5937","7.98653","3.4472","101","31481","thing","Arcs","2","4","120","120","60","2025","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","308","","","","","集石","","","","","CMON Global Limited","Chinese","2025","Simplified Chinese edition"
"星弧航记：衰变星域","363757","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","135247895","7.02741","8.85309","4.5479","0","10019","thing","Arcs: The Blighted Reach Expansion","2","4","0","0","0","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","CMON Global Limited; Leder Games","Chinese","0","Chinese edition"
"星空觅迹：探寻地外文明计划","418059","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143658507","8.05074","8.41231","3.8362","14","34351","thing","SETI: Search for Extraterrestrial Intelligence","1","4","160","160","40","2025","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Broadway Toys LTD; Czech Games Edition (CGE)","Chinese","2025","Simplified Chinese edition"
"星際探險隊：深海任務","324856","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","147743024","7.80111","8.03819","2.0558","45","53457","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2022","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","39.58","","","","","淘宝","","","","","KOSMOS; Swan Panasia Co., Ltd.","Chinese","2022","Chinese edition"
"暗諜魅影","324914","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","146899910","6.23116","6.97467","1.6604","2137","4944","thing","Inside Job","2","5","30","30","20","2024","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","赠品","","","","","Broadway Toys LTD","Chinese","2024","Chinese edition"
"木心匠艺","355093","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","149244899","6.97088","7.5626","3.8242","540","11208","thing","Woodcraft","1","4","120","120","60","2022","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Delicious Games; YOKA Games","Chinese","2022","Simplified Chinese edition"
"末世亲缘：斯旺之书","340216","10","0","0","0","0","0","0","0","1","0","0","3","","","","","","131426957","6.0354","7.95874","2.5652","3025","1980","thing","Heredity: The Book of Swan","1","4","180","180","120","2024","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","283.26","","","","2024-11-11","淘宝","","","茨坝人才公寓405","2024-11-25","Game Harbor","Chinese","2024","Chinese edition"
"榴莲忘贩","307963","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147112397","6.11108","6.88324","1.119","2633","3699","thing","Durian","2","7","20","20","20","2023","4,5,6,7","5,6,7","8+","No necessary in-game text","","","","","","standalone","","35.4","","","","","淘宝","","盗版","","","Oink Games","Chinese","2023","Chinese edition"
"欢迎来到月球","339789","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","131429462","7.35125","7.84245","2.4578","214","21066","thing","Welcome to the Moon","1","6","30","30","25","2024","1,2,3,4,5,6","2,3,4","10+","No necessary in-game text","","","","","","standalone","","293","","","","2025-10-25","新物集","","","","","BoardGamePlanet","Chinese","2024","Chinese edition"
"水下城市 Underwater Cities","247763","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","146970739","7.77264","8.03953","3.5897","53","30540","thing","Underwater Cities","1","4","150","150","80","2019","1,2,3","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","MYBG Co., Ltd.","Chinese","2019","Chinese edition"
